salt_group,treatment,variance_growth,std_growth,count
High salt,MF,227.2419041986892,15.074544908510148,120
High salt,No MF,263.1349634212511,16.221435307063647,120
Medium salt,MF,234.95231661350795,15.32815437727282,120
Medium salt,No MF,350.77584881674073,18.729010887303705,120
No salt,MF,355.33045436073377,18.85021098982008,120
No salt,No MF,330.25619343393174,18.17295224871104,120
